Total_Population,Literate_Population,Illiterate_Population,Illiteracy_Rate,Year,Region,Gender
20592770,20377576,215194,1.04,108,總計,性別總計
10141384,10121504,19880,0.2,108,總計,男
10451386,10256072,195314,1.87,108,總計,女
3532443,3508955,23488,0.66,108,新北市,性別總計
1711632,1709093,2539,0.15,108,新北市,男
1820811,1799862,20949,1.15,108,新北市,女
2289541,2280013,9528,0.42,108,臺北市,性別總計
1075986,1074867,1119,0.1,108,臺北市,男
1213555,1205146,8409,0.69,108,臺北市,女
1914465,1899064,15401,0.8,108,桃園市,性別總計
941910,940341,1569,0.17,108,桃園市,男
972555,958723,13832,1.42,108,桃園市,女
2414687,2394578,20109,0.83,108,臺中市,性別總計
1176100,1173785,2315,0.2,108,臺中市,男
1238587,1220793,17794,1.44,108,臺中市,女
1653410,1633750,19660,1.19,108,臺南市,性別總計
819315,817904,1411,0.17,108,臺南市,男
834095,815846,18249,2.19,108,臺南市,女
2444771,2412890,31881,1.3,108,高雄市,性別總計
1199376,1197086,2290,0.19,108,高雄市,男
1245395,1215804,29591,2.38,108,高雄市,女
400551,395041,5510,1.38,108,宜蘭縣,性別總計
201406,200694,712,0.35,108,宜蘭縣,男
199145,194347,4798,2.41,108,宜蘭縣,女
472477,470001,2476,0.52,108,新竹縣,性別總計
240237,239949,288,0.12,108,新竹縣,男
232240,230052,2188,0.94,108,新竹縣,女
478533,475760,2773,0.58,108,苗栗縣,性別總計
246585,246248,337,0.14,108,苗栗縣,男
231948,229512,2436,1.05,108,苗栗縣,女
1109781,1082667,27114,2.44,108,彰化縣,性別總計
562361,560144,2217,0.39,108,彰化縣,男
547420,522523,24897,4.55,108,彰化縣,女
440999,436831,4168,0.95,108,南投縣,性別總計
225112,224654,458,0.2,108,南投縣,男
215887,212177,3710,1.72,108,南投縣,女
604524,588677,15847,2.62,108,雲林縣,性別總計
312870,311732,1138,0.36,108,雲林縣,男
291654,276945,14709,5.04,108,雲林縣,女
456644,445888,10756,2.36,108,嘉義縣,性別總計
236989,236220,769,0.32,108,嘉義縣,男
219655,209668,9987,4.55,108,嘉義縣,女
733035,720464,12571,1.71,108,屏東縣,性別總計
372929,371787,1142,0.31,108,屏東縣,男
360106,348677,11429,3.17,108,屏東縣,女
191654,189360,2294,1.2,108,臺東縣,性別總計
98356,98071,285,0.29,108,臺東縣,男
93298,91289,2009,2.15,108,臺東縣,女
287531,285797,1734,0.6,108,花蓮縣,性別總計
144809,144598,211,0.15,108,花蓮縣,男
142722,141199,1523,1.07,108,花蓮縣,女
94314,93391,923,0.98,108,澎湖縣,性別總計
48575,48494,81,0.17,108,澎湖縣,男
45739,44897,842,1.84,108,澎湖縣,女
330722,327443,3279,0.99,108,基隆市,性別總計
164373,163946,427,0.26,108,基隆市,男
166349,163497,2852,1.71,108,基隆市,女
372090,369643,2447,0.66,108,新竹市,性別總計
181425,181166,259,0.14,108,新竹市,男
190665,188477,2188,1.15,108,新竹市,女
231722,229319,2403,1.04,108,嘉義市,性別總計
111041,110804,237,0.21,108,嘉義市,男
120681,118515,2166,1.79,108,嘉義市,女
127327,126766,561,0.44,108,金門縣,性別總計
63320,63283,37,0.06,108,金門縣,男
64007,63483,524,0.82,108,金門縣,女
11549,11278,271,2.35,108,連江縣,性別總計
6677,6638,39,0.58,108,連江縣,男
4872,4640,232,4.76,108,連江縣,女
